Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,cbre,['hybrid - hyderabad'],not disclosed,should be able to customize any algorithm(s) wherever neededhands on experience in appl...,4-8 yrs,"education
ug: any graduate",['not mentioned'],10.0,15.5,4.0,8.0
not mentioned,genpact,"['hyderabad', ' gurugram', ' bengaluru']",not disclosed,"experience in tokenization and embeddings and must have used gpt, llama, huggingface, m...",6-11 yrs,not mentioned,['not mentioned'],10.0,15.5,6.0,11.0
not mentioned,telus international,['hybrid - noida'],15-25 lacs pa,"role & responsibilities collect, clean, and preprocess data from various sources to ens...",3-5 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: doctorate not required","['tensorflow', 'natural language processing', 'computer vision', 'machine learning', 'scikit-learn']",15.0,25.0,3.0,5.0
not mentioned,sprih labs,['pune'],not disclosed,"as a data scientist/ai engineer, you will play a crucial role in the development andimp...",2-5 yrs,"education
ug: any graduate
pg: llm in law, any postgraduate","['training', 'deep learning', 'c++', 'data science', 'artificial intelligence', 'machine learning', 'programming', 'python']",10.0,15.5,2.0,5.0
not mentioned,trimble,['chennai'],not disclosed,   job title:  ai/ml data scientist        location:  chennai        we are seeking a h...,4-7 yrs,"education
ug: any graduate
pg: any postgraduate","['erp', 'prototype', 'data management', 'machine learning', 'cms', 'strategic planning', 'data structures', 'microsoft', 'analytics', 'python']",10.0,15.5,4.0,7.0
not mentioned,ey,"['hybrid - hyderabad', ' bengaluru', ' delhi / ncr']",not disclosed,"graduate degree in a quantitative field (cs, statistics, applied mathematics, machine l...",6-11 yrs,not mentioned,"['llama', 'langchain', 'lora']",10.0,15.5,6.0,11.0
not mentioned,ibm,['bengaluru'],not disclosed,required technical and professional expertise. resource should have 5-7 years of experi...,7-12 yrs,"education
ug: any graduate
pg: any postgraduate","['hive', 'algorithms', 'data analysis', 'natural language processing', 'pyspark', 'power bi', 'machine learning', 'sql', 'pandas', 'deep learning', 'data science', 'spark', 'kafka', 'data visualization', 'hadoop', 'aws', 'big data', 'etl']",10.0,15.5,7.0,12.0
not mentioned,ibm,"['hyderabad', ' bengaluru']",not disclosed,required technical and professional expertise . 4+ years of experience as a data scient...,4-8 yrs,"education
ug: any graduate
pg: any postgraduate","['continuous integration', 'algorithms', 'python', 'scikit-learn', 'ci/cd', 'relational databases', 'sql', 'r', 'tensorflow', 'open source', 'spark', 'devops', 'pytorch', 'big data']",10.0,15.5,4.0,8.0
not mentioned,infosys,['bengaluru'],not disclosed," responsibilities writing effective, scalable code from scratch, .integrating applicati...",3-8 yrs,"education
ug: b.tech/b.e. in production/industrial
pg: any postgraduate","['data management', 'web services', 'docker', 'sql', 'data science', 'gcp', 'linux', 'html', 'mongodb', 'ml', 'rest', 'github', 'microsoft azure', 'machine learning', 'javascript', 'nosql', 'django', 'json structure', 'aws', 'flask']",10.0,15.5,3.0,8.0
not mentioned,hitachi data systems,"['hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,deep learning proficiency: hands-on experience with deep learning models and frameworks...,3-7 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'data analysis', 'coding', 'artificial intelligence', 'consulting', 'machine learning', 'equity', 'apache', 'python', 'technical documentation']",10.0,15.5,3.0,7.0
not mentioned,iifl finance,['gurugram'],not disclosed, job descriptionwe are seeking a highly motivated analyst to join our dynamic team. the...,3-6 yrs,"education
ug: b.tech/b.e. in any specialization","['data visualization', 'data analytics']",10.0,15.5,3.0,6.0
not mentioned,pluto7,['bengaluru'],not disclosed,"at pluto7, our mission is to deliver customer-centric data solutions to global enterpri...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['exploration', 'data analytics', 'presentation skills', 'engineering', 'machine learning', 'data wrangling', 'artificial intelligence', 'communication skills']",10.0,15.5,2.0,5.0
not mentioned,codvo,"['mumbai', ' delhi / ncr', ' bengaluru']",not disclosed,working with azure databricks platform is preferred) . advanced knowledge in handling t...,2-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: mca in any specialization
doctorate: doctorate not required","['pytorch', 'theano', 'pyspark', 'data science', 'azure databricks', 'statistical modelling', 'keras', 'tensorflow']",10.0,15.5,2.0,5.0
not mentioned,not mentioned,"['mumbai', ' chennai', ' bengaluru']",not disclosed,experience creating and using advanced machine learning algorithms and statistics: regr...,9-14 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: doctorate not required","['hive', 'scenario analysis', 'data mining', 'hadoop', 'statistical models', 'data scientist', 'spark']",10.0,15.5,9.0,14.0
not mentioned,ignitho,['bengaluru'],not disclosed,  collaborate with business and it teamsdata mining or extracting usable data from valu...,3-8 yrs,"education
ug: b.tech/b.e. in any specialization","['glue', 'athena', 'python', 'sql']",10.0,15.5,3.0,8.0
not mentioned,equifax credit information services private limited,['bengaluru'],not disclosed,schedule: full time . 3 years experience in handling bfsi analytics / risk models / gcp...,2-6 yrs,"education
ug: any graduate
pg: any postgraduate","['logistic regression', 'bfsi', 'gcp', 'neural networks', 'analytical', 'risk modeling', 'machine learning', 'healthcare', 'analytics', 'python']",10.0,15.5,2.0,6.0
not mentioned,t-systems ict india pvt ltd,['pune'],not disclosed,role & responsibilities  ai solution desingerdevising solution concepts for the develop...,6-11 yrs,"education
ug: any graduate
pg: any postgraduate","['nlp', 'deep learning']",10.0,15.5,6.0,11.0
not mentioned,calsoft,['bengaluru'],not disclosed,"experience with large scale training and inference, and machine learning pipelines in p...",4-8 yrs,not mentioned,['not mentioned'],10.0,15.5,4.0,8.0
not mentioned,atos,['hybrid - chennai'],not disclosed,should have delivered at least 1 project in adls & adfthe key qualifications and experi...,3-8 yrs,"education
ug: any graduate","['data quality', 'data engineering', 'data visualization', 'data architecture', 'data modeling']",10.0,15.5,3.0,8.0
not mentioned,deloitte,['maharashtra'],not disclosed,location: pan indiaresponsibilities:5+ years of work experience as a data scientista co...,5-7 yrs,not mentioned,['not mentioned'],10.0,15.5,5.0,7.0
