Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,forgeahead solutions,['pune'],not disclosed,"   bachelor's or master's degree in computer science, machine learning, or related fiel...",3-5 yrs,"education
ug: any graduate
pg: llm in law, any postgraduate","['application software', 'algorithms', 'python', 'cnn', 'software development', 'modeling', 'natural language processing', 'neural networks', 'engineering', 'machine learning', 'artificial intelligence', 'deep learning', 'tensorflow', 'lstm', 'computer vision', 'pytorch', 'keras', 'ml']",17.5,27.5,3.0,5.0
not mentioned,sndk corp,['ahmedabad'],not disclosed,"the ideal candidate should have a strong background in computer science, mathematics, a...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'analytical skills', 'cloud computing', 'c++', 'artificial intelligence', 'machine learning', 'programming', 'power bi', 'data visualization', 'python']",17.5,27.5,2.0,5.0
not mentioned,inavan,['kochi'],not disclosed,experience in image processing computer vision projects . thorough experience in deep l...,1-4 yrs,"education
ug: any graduate
pg: any postgraduate","['computer vision', 'deep learning', 'web application development', 'image processing', 'neural networks', 'artificial intelligence', 'machine learning', 'signal processing', 'technical support', 'python']",17.5,27.5,1.0,4.0
not mentioned,tac security,"['mumbai', ' pune']",not disclosed, ensures software applications are built with quality while conforming to corporate and...,2-7 yrs,"education
ug: any graduate
pg: any postgraduate","['san', 'deep learning', 'artificial intelligence', 'mysql', 'machine learning', 'data analytics', 'data visualization', 'vulnerability management', 'big data', 'python']",17.5,27.5,2.0,7.0
not mentioned,megdap innovation labs,['pune'],not disclosed, machine learning and ai engineer company profile  megdap is a leader in langauge techn...,2-5 yrs,"education
ug: any graduate
pg: post graduation not required","['computer science', 'c++', 'git', 'linux', 'image processing', 'machine learning', 'perl', 'open source', 'matlab', 'python']",17.5,27.5,2.0,5.0
not mentioned,banyan solutions,['hyderabad'],not disclosed,"technology head data science, data analytics background hyderabad job title: python, ma...",2-6 yrs,"education
ug: any graduate
pg: post graduation not required","['technology head', 'python', 'data science', 'machine learning', 'data analytics']",17.5,27.5,2.0,6.0
not mentioned,prudential,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed, the ideal candidate should have an established background in designing and building a ...,4-9 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'cloud computing', 'automation', 'manager quality assurance', 'machine learning', 'json', 'monitoring', 'sql', 'python', 'recruitment']",17.5,27.5,4.0,9.0
not mentioned,bebo technologies,"['hybrid - chandigarh', ' pune', ' delhi / ncr']",not disclosed,"performance monitoring: monitor and evaluate the performance of deployed models, ensuri...",3-8 yrs,"education
ug: bca in any specialization, b.tech/b.e. in any specialization
pg: mca in any specialization, m.tech in any specialization","['pytorch', 'keras', 'scikit-learn', 'python']",17.5,27.5,3.0,8.0
not mentioned,level ai,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,proficient in pythonknowledge and practical experience in solving nlp problems in areas...,3-7 yrs,"education
ug: any graduate
pg: any postgraduate","['computer science', 'enterprise applications', 'machine learning', 'data structures', 'silicon', 'pattern recognition', 'open source', 'data mining', 'monitoring', 'python']",17.5,27.5,3.0,7.0
not mentioned,ethnotech academy,['bengaluru'],not disclosed,"  data science, machine learning, python, training, trainer, tableau, deep learning, nl...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['training', 'deep learning', 'tableau', 'data science', 'coding', 'analytical', 'machine learning', 'subject matter expert', 'python']",17.5,27.5,2.0,5.0
not mentioned,not mentioned,['mumbai (all areas)'],not disclosed,job responsibilities:  design and implement end-to-end machine learning workflows for i...,4-7 yrs,"education
ug: b.tech/b.e. in any specialization, bca in any specialization
pg: mca in any specialization, ms/m.sc(science) in any specialization, m.tech in any specialization","['pandas', 'numpy']",17.5,27.5,4.0,7.0
not mentioned,tiket.com,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"  machine learning engineer is kinda similar to a software engineer, with additional co...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['deep learning', 'software architecture', 'data science', 'machine learning', 'architectural design', 'manager technology', 'data processing', 'supervision', 'python', 'technical documentation']",17.5,27.5,2.0,5.0
not mentioned,data economy,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,preferably aws cloudshould be able to prototype andevaluate new libraries and new featu...,2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['prototype', 'data science', 'cloud services', 'cloud', 'machine learning', 'data visualization', 'stakeholder management', 'aws', 'monitoring', 'python']",17.5,27.5,2.0,5.0
not mentioned,tiketcom,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"batch, stream) . mandatory belongings that you must prepare: . have minimum 3 years of ...",3-6 yrs,"education
ug: any graduate
pg: any postgraduate","['deep learning', 'software architecture', 'data science', 'machine learning', 'architectural design', 'manager technology', 'data processing', 'supervision', 'python', 'technical documentation']",17.5,27.5,3.0,6.0
not mentioned,mindpeers,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"excellent coding, documentation, version control, and testing skills in python . profic...",2-5 yrs,"education
ug: any graduate
pg: any postgraduate","['version control', 'nosql', 'coding', 'underwriting', 'machine learning', 'natural language processing', 'data visualization', 'sql', 'python']",17.5,27.5,2.0,5.0
